

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
232.559  000.307  000.307: sourcing /Users/cicloid/.vim/plugged/argtextobj.vim/plugin/argtextobj.vim
233.667  000.314  000.314: sourcing /Users/cicloid/.vim/plugged/vim-expand-region/autoload/expand_region.vim
233.873  001.135  000.821: sourcing /Users/cicloid/.vim/plugged/vim-expand-region/plugin/expand_region.vim
236.761  002.745  002.745: sourcing /Users/cicloid/.vim/plugged/emmet-vim/plugin/emmet.vim
237.699  000.123  000.123: sourcing /Users/cicloid/.vim/plugged/splitjoin.vim/autoload/sj/settings.vim
237.965  001.029  000.906: sourcing /Users/cicloid/.vim/plugged/splitjoin.vim/plugin/splitjoin.vim
246.380  000.227  000.227: sourcing /Users/cicloid/.vim/plugged/investigate.vim/plugin/investigate.vim
248.200  000.476  000.476: sourcing /Users/cicloid/.vim/plugged/delimitMate/autoload/delimitMate.vim
250.991  004.451  003.975: sourcing /Users/cicloid/.vim/plugged/delimitMate/plugin/delimitMate.vim
251.303  000.148  000.148: sourcing /Users/cicloid/.vim/plugged/file-line/plugin/file_line.vim
251.609  000.168  000.168: sourcing /Users/cicloid/.vim/plugged/change-inside-surroundings.vim/plugin/change-inside-surroundings.vim
252.117  000.378  000.378: sourcing /Users/cicloid/.vim/plugged/NrrwRgn/plugin/NrrwRgn.vim
252.565  000.315  000.315: sourcing /Users/cicloid/.vim/plugged/tabular/plugin/Tabular.vim
252.842  000.145  000.145: sourcing /Users/cicloid/.vim/plugged/ctrlr.vim/plugin/ctrlr.vim
253.074  000.083  000.083: sourcing /Users/cicloid/.vim/plugged/gundo.vim/plugin/gundo.vim
257.175  003.977  003.977: sourcing /Users/cicloid/.vim/plugged/YankRing.vim/plugin/yankring.vim
257.755  000.406  000.406: sourcing /Users/cicloid/.vim/plugged/vim-multiple-cursors/plugin/multiple_cursors.vim
258.068  000.166  000.166: sourcing /Users/cicloid/.vim/plugged/tlib_vim/plugin/02tlib.vim
258.509  000.312  000.312: sourcing /Users/cicloid/.vim/plugged/vim-commentary/plugin/commentary.vim
259.486  000.846  000.846: sourcing /Users/cicloid/.vim/plugged/vim-abolish/plugin/abolish.vim
259.990  000.369  000.369: sourcing /Users/cicloid/.vim/plugged/vim-dispatch/plugin/dispatch.vim
260.507  000.386  000.386: sourcing /Users/cicloid/.vim/plugged/vim-endwise/plugin/endwise.vim
261.281  000.646  000.646: sourcing /Users/cicloid/.vim/plugged/vim-ragtag/plugin/ragtag.vim
262.135  000.699  000.699: sourcing /Users/cicloid/.vim/plugged/vim-surround/plugin/surround.vim
267.183  004.913  004.913: sourcing /Users/cicloid/.vim/plugged/vim-unimpaired/plugin/unimpaired.vim
267.492  000.106  000.106: sourcing /Users/cicloid/.vim/plugged/AnsiEsc.vim/plugin/AnsiEscPlugin.vim
268.080  000.548  000.548: sourcing /Users/cicloid/.vim/plugged/AnsiEsc.vim/plugin/cecutil.vim
268.382  000.159  000.159: sourcing /Users/cicloid/.vim/plugged/AutoTag/plugin/autotag.vim
